************************Header***************************

************************Result***************************
Directory:     ['\\\\130.60.131.134\\studi\\Filme\\frueher_Film', '\\\\130.60.131.134\\studi\\Filme\\mittlere_Filme', '\\\\130.60.131.134\\studi\\Filme\\spaete_Filme']
Total Folders: 470


*******************File Information**********************
n-Correct      n-Multiple     n-Incorrect    n-Not-Started  n-Total        
166            54             62             188            470            


************************Details***************************
Legend
PR: Pre-Naming Nomeclature
MS: Missing Segmentation
AL: Everything OK


         Status       n-Movies         n-ELAN    n-Filemaker     n-Segment.      n-Folders     n-Indexing    n-Timestamp    n-PreNaming       n-Others               Path 
          OK-MS              1              1              1              0              1              0           1033              0              0               \\130.60.131.134\studi\Filme\frueher_Film\1018_Mystery_Of_The_Wax_Museum_1933
          OK-MS              1              1              1              0              1              0            819              0              0               \\130.60.131.134\studi\Filme\frueher_Film\1062_Hells_Angels_1930
      *Multiple              2              1              1              0              1              0            598              0              0               \\130.60.131.134\studi\Filme\frueher_Film\1081_Körkarlen_1921
          OK-MS              1              1              1              0              1             45              0              0              0               \\130.60.131.134\studi\Filme\frueher_Film\142_Gold_Diggers_of_Broadway_1929
          OK-MS              1              1              1              0              1              0             64              0              0               \\130.60.131.134\studi\Filme\frueher_Film\158_Cosmopolitan_London_1924
   ***Incorrect              0              1              1              1              1              0              0              0            364               \\130.60.131.134\studi\Filme\frueher_Film\161_Gribiche_1926
   ***Incorrect              1              1              1              0              1              0            311              0              2               \\130.60.131.134\studi\Filme\frueher_Film\163_Brasier_Ardent_1923
          OK-MS              1              1              1              0              1              0            640              0              0               \\130.60.131.134\studi\Filme\frueher_Film\164_Mauprat_1926
          OK-MS              1              1              1              0              1             54              0              0              0               \\130.60.131.134\studi\Filme\frueher_Film\166_Le_Voyage_Dans_La_Lune_1902
      *Multiple              2              2              2              0              2              0           2562              0              0               \\130.60.131.134\studi\Filme\frueher_Film\167_La_Roue_1923
   *Not Started              1              0              0              0              0              0              0              0              0               \\130.60.131.134\studi\Filme\frueher_Film\168_Lonesome_1928
          OK-MS              1              1              1              0              1            349              0              0              0               \\130.60.131.134\studi\Filme\frueher_Film\169_Die_Finanzen_des_Grossherzogs_1924
          OK-MS              1              1              1              0              1              0            107              0              0               \\130.60.131.134\studi\Filme\frueher_Film\171_Flowers_of_London_1924
          OK-MS              1              1              1              0              1              0             95              0              0               \\130.60.131.134\studi\Filme\frueher_Film\172_Londons_Free_Shows_1924
          OK-MS              1              1              1              0              1              0             96              0              0               \\130.60.131.134\studi\Filme\frueher_Film\173_Barging_Through_London_1924
          OK-MS              1              1              1              0              1              0             97              0              0               \\130.60.131.134\studi\Filme\frueher_Film\174_Londons_Sunday_1924
          OK-MS              1              1              1              0              1              0             78              0              0               \\130.60.131.134\studi\Filme\frueher_Film\175_London_Off_the_Track_1924
          OK-MS              1              1              1              0              1            425              0              0              0               \\130.60.131.134\studi\Filme\frueher_Film\176_Phantom_1922
          OK-MS              1              1              1              0              1            495              0              0              0               \\130.60.131.134\studi\Filme\frueher_Film\188_Der_müde_Tod_1921
          OK-MS              1              1              1              0              1             46              0              0              0               \\130.60.131.134\studi\Filme\frueher_Film\189_Voyage_sur_Jupiter_1909
          OK-MS              1              1              1              0              1              0              0              0              0               \\130.60.131.134\studi\Filme\frueher_Film\190_Mode_de_Paris_1926
          OK-MS              1              1              1              0              1             11              0              0              0               \\130.60.131.134\studi\Filme\frueher_Film\191_Les_Roses_Magiques_1906
          OK-MS              1              1              1              0              1              0            248              0              0               \\130.60.131.134\studi\Filme\frueher_Film\192_Schatten_Eine_naechtliche_Halluzination_1923
          OK-MS              1              1              1              0              1              0            239              0              0               \\130.60.131.134\studi\Filme\frueher_Film\194_La_Vie_et_la_Passion_de_Jesus_Christ_1903
          OK-MS              1              1              1              0              1              0            949              0              0               \\130.60.131.134\studi\Filme\frueher_Film\197_Linhumaine_1923
          OK-MS              1              1              1              0              1              6              0              0              0               \\130.60.131.134\studi\Filme\frueher_Film\198_Mort_de_Marat_1897
          OK-MS              1              1              1              0              1              0            316              0              0               \\130.60.131.134\studi\Filme\frueher_Film\199_Rapsodia_Satanica_1917
   ***Incorrect              1              1              1              0              1              0              0              0            245               \\130.60.131.134\studi\Filme\frueher_Film\200_Nosferatu_Eine_Symphonie_des_Grauens_1922
          OK-MS              1              1              1              0              1            557              0              0              0               \\130.60.131.134\studi\Filme\frueher_Film\201_Ben_Hur_A_Tale_of_Christ_1925
   ***Incorrect              1              1              0              0              1              0              0              0             35               \\130.60.131.134\studi\Filme\frueher_Film\202_Les_papillons_japonais_1908
          OK-MS              1              1              1              0              1            271              0              0              0               \\130.60.131.134\studi\Filme\frueher_Film\204_Die_Abenteuer_des_Prinzen_Achmed_1925
          OK-MS              1              1              1              0              1              0            192              0              0               \\130.60.131.134\studi\Filme\frueher_Film\206_Aladin_Ou_La_Lampe_Merveilleuse_1906
   ***Incorrect              1              1              1              0              1              0              0              0            562               \\130.60.131.134\studi\Filme\frueher_Film\208_Das_Cabinet_des_Dr_Caligari_1919
          OK-MS              1              1              1              0              1              0            318              0              0               \\130.60.131.134\studi\Filme\frueher_Film\211_Der_Student_von_Prag_1913
   ***Incorrect              1              1              1              0              1              0            172              0              1               \\130.60.131.134\studi\Filme\frueher_Film\217_Haxan_1922
          OK-MS              1              1              1              0              1            354              0              0              0               \\130.60.131.134\studi\Filme\frueher_Film\219_La_revue_des_revues_1927
       OK-MS-PN              1              1              1              0              1              0              0            741              0               \\130.60.131.134\studi\Filme\frueher_Film\222_The_Lodger_1926
          OK-MS              1              1              1              0              1              0             27              0              0               \\130.60.131.134\studi\Filme\frueher_Film\269_The_Flute_Of_Krishna_1926
          OK-MS              1              1              1              0              1            491              0              0              0               \\130.60.131.134\studi\Filme\frueher_Film\26_Joan_the_Woman_1916
          OK-MS              1              1              1              0              1            459              0              0              0               \\130.60.131.134\studi\Filme\frueher_Film\306_Doctor_X_1932
   *Not Started              1              0              0              0              0              0              0              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3076_The_Birth_of_a_Nation_1915
          OK-MS              1              1              1              0              1              0             32              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3099_La_Peine_Du_Talion_1906
          OK-MS              1              1              1              0              1              0            765              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3103_Madame_Dubarry_1919
          OK-MS              1              1              1              0              1              0            497              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3104_Das_Wachsfigurenkabinett_1923
          OK-MS              1              1              1              0              1              0            308              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3109_Posle_Smerti_1915
          OK-MS              1              1              1              0              1             25              0              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3112_Ali_Baba_et_les_Quarante_Voleurs_1902
          OK-MS              1              1              1              0              1              0            522              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3118_Salome_1922
          OK-MS              1              1              1              0              1             52              0              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3146_Superstition_Andalouse_1912
          OK-MS              1              1              1              0              1             10              0              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3156_Les_Oeufs_De_Paques_1907
          OK-MS              1              1              1              0              1              0             29              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3157_Loie_Fuller_1905
          OK-MS              1              1              1              0              1              0             14              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3159_Un_Drame_Au_Fond_De_La_Mer_1901
          OK-MS              1              1              1              0              1              0            102              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3161_The_Love_Charm_1928
   *Not Started              1              0              0              0              0              0              0              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3165_LAtlantide_1921
          OK-MS              1              1              1              0              1             54              0              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3180_La_Legende_Du_Fantome_1908
   ***Incorrect              1              1              1              0              1              0              0              0             13               \\130.60.131.134\studi\Filme\frueher_Film\3182_Le_Roi_Des_Dollars_1905
          OK-MS              1              1              1              0              1              0             34              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3186_LAlbum_Merveilleux_1905
          OK-MS              1              1              1              0              1             29              0              0              0               \\130.60.131.134\studi\Filme\frueher_Film\31_La_Poule_Aux_Oeufs_Dor_1905
          OK-MS              1              1              1              0              1              0             22              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3220_La_Fee_Printemps_1906
          OK-MS              1              1              1              0              1              0             41              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3229_Japonaiseries_1904
          OK-MS              1              1              1              0              1              0             33              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3241_La_Sorciere_Noire_1907
